job_title,job_location,company,search_city,job_skills,last_processed_time,first_seen,search_country,search_position,job_level,job_type
Quản Lý Chất Lượng,"Thuận An, Bình Dương",REERACOEN VIỆT NAM,Bình Dương,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Bán Hàng,"Xuân Thới Thượng, Hồ Chí Minh",CÔNG TY TNHH MỸ PHẨM KHANG THỊNH,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Học viện Công nghệ Bưu chính Viễn thông cơ sở TP. HCM tuyển dụng giảng viên cơ hữu năm 2025,,,,,24/03/2025,24/03/2025,Việt Nam,,,
Safety Officer,Hà Nội,Talent Viet,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,support,,
Nhân viên bán hàng,Bình Định,Khu Du Lịch Sinh Thái Hầm Hô Rosa Alba,Bình Định,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Kiểm Soát Chất Lượng,Hải Dương,Công ty TNHH ORC  Việt Nam,Hải Dương,,24/03/2025,24/03/2025,Việt Nam,,,
Kiến Trúc Sư,"Quận Cầu Giấy, Hà Nội",REERACOEN VIỆT NAM,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,
Giám sát Đào tạo,Khánh Hòa,AQUAMARINE RESORT & SPA CAM RANH,Khánh Hòa,,24/03/2025,24/03/2025,Việt Nam,,,
General Accountant | Le Méridien Saigon25048802,Hồ Chí Minh,Le Meridien Saigon,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,support,,
Rice Seed Grow Officer,Cần Thơ,Talent Viet,Cần Thơ,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Marketing,Hà Nội,Công ty TNHH Đầu Tư và Tư Vấn EUREKA đại diện cho Công ty TNHH Đầu Tư  Và Tư Vấn EUREKA,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,
Kỹ Sư Công Nghệ,"Quận Ba Ðình, Hà Nội",REERACOEN VIỆT NAM,Hà Nội,"Network system, cloud",24/03/2025,24/03/2025,Việt Nam,"engineer, support",,
Kỹ Sư,"Phú Mỹ, Hồ Chí Minh","Vina Lanai Co., Ltd",Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,support,leader,
Nhân Viên Giao Nhận Hàng Hóa,"Ngọc Hà, Hà Nội",Công ty TNHH Thương mại Thiên Linh,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,"
Lễ tân  Thu ngân,Hà Nội,Nhà hàng Gen Gold,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Bán Hàng,"Long Xuyên, An Giang",CÔNG TNHH MTV DVVP TOÀN CẦU,An Giang,,24/03/2025,24/03/2025,Việt Nam,,,
Secretary to BOM,Hồ Chí Minh,Talent Viet,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Giám Sát Quầy Bar,"Quận 5, Hồ Chí Minh","CÔNG TY CP XNK DỊCH VỤ & DU LỊCH HÙNG VƯƠNG HAVIMEC.,JSC",Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Kỹ Sư Dự Toán,"Huyện Từ Liêm, Hà Nội",CÔNG TY CỔ PHẦN CÔNG NGHIỆP FUJI VIỆT NAM,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,"
Nhân Viên Bán Hàng Tại Cửa Hàng,"Quận Hoàn Kiếm, Hà Nội",Cty Mắt Kính Thanh Lịch,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Bảo Trì,"Châu Thành, Tiền Giang",Nhà máy chế biến thủy sản đông lạnh xuất khẩu An An,Tiền Giang,,24/03/2025,24/03/2025,Việt Nam,,,
Giáo Viên Tiếng Nhật,"An Lạc, Hồ Chí Minh",Công ty TNHH Lạc Tỷ,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,"
Nhân Viên Kinh Doanh,"Huyện Từ Liêm, Hà Nội",CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU VÀ CÔNG NGHỆ VIỆT NAM,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,"
General Accountant,Phú Quốc, Kiên Giang,Sheraton Phu Quoc Long Beach Resort,Kiên Giang,,24/03/2025,24/03/2025,Việt Nam,"support, manager",manager,
Product Management Trainee (Tiếng Trung),Quận 7, Hồ Chí Minh,CÔNG TY OPPO VIỆT NAM,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,"
Commis,Phú Quốc, Kiên Giang,Sheraton Phu Quoc Long Beach Resort,Kiên Giang,,24/03/2025,24/03/2025,Việt Nam,"support, manager",manager,
